,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
153,0,0.164285714,1,1,114,-5.55E-06,-5.73E-08,0,1,0,0,1,0,-1.36E-07,,1
154,0.011428571,0.552142857,7,1.75,92.75,-1.64E-06,-1.32E-07,0,1.25,0,0,4,-2.30E-08,-8.61E-08,,1
155,0.051428571,0.210204082,4,0.571428571,119.7142857,-1.53E-05,-8.71E-07,0,0.285714286,0,0,6,-1.08E-07,-6.19E-07,,1
156,0,0.165714286,2,2,65,-1.77E-05,-5.67E-07,0,0,0,0,1,0,-1.67E-04,,1
157,0.2,0.081428571,0,0,93,-1.21E-05,-3.12E-07,-1.06E-08,0.5,0,0,1,-3.59E-07,-3.49E-06,,1
158,0.054285714,0.082857143,4,1,84,-3.38E-05,-1.92E-06,-3.84E-09,0,0,0,1,-6.90E-08,-1.12E-04,,1
159,0.074285714,0.247142857,4,2,98.5,-1.06E-05,-5.44E-07,-3.47E-09,0.5,0,0,1,-8.66E-08,-3.58E-05,,1
160,0.228571429,0.698571429,9,4.5,141,-2.20E-03,-6.22E-06,0,2,0,0,1,-3.00E-07,-2.99E-05,,-1
161,0,0.247142857,4,2,83.5,-1.03E-04,-7.68E-06,0,0.5,0,0,1,0,-1.46E-05,,1
162,0,0.164285714,1,1,66,-1.38E-05,-4.11E-07,0,1,0,0,1,0,-1.93E-04,,1
163,0,0.247142857,2,2,80,-1.40E-05,-5.95E-07,0,1,0,0,1,0,-2.01E-04,,1
164,0,0.247142857,2,2,141,-2.42E-04,-9.69E-06,0,1,0,0,1,0,-1.97E-04,,1
165,0.028571429,0.165714286,6,2,69.33333333,-2.44E-06,-7.96E-08,-3.46E-09,0,0,0,3,-3.12E-08,-1.55E-06,,1
166,0,0,0,0,60,-1.56E-04,-1.19E-06,0,0,0,0,1,0,-2.07E-08,,1
167,0,0,0,0,41,-3.47E-05,-1.93E-06,0,0,0,0,1,0,-2.71E-05,,1
168,0,0.164285714,1,1,140,-2.24E-06,-2.50E-07,0,1,0,0,0,0,-1.16E-04,,1
169,0,0.412857143,4,4,98,-1.61E-07,-1.86E-08,0,1,0,0,0,0,-1.04E-06,,1
