 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
255961,732927662109253632,Wed May 18 13:35:46 +0000 2016,57,57,0,0,252,252,21877,21854,1202,1199,0,0,2,200.0,6.0,2.0,2.0,1529245149000.0,1529234365000.0,1463578546000.0,23,0,3,0,0,0.0657142857142857,3.331526072697868e-07,3.8375671724636044e-09,100.0,1.8304586275004967e-08,0.0,8.680211461524817e-10,3.0,1.0,0.4114285714285713,1
255962,732933064817410049,Wed May 18 13:57:14 +0000 2016,36,36,0,0,86,86,4583,4581,21,21,1,1,2,194.0,3.0,1.0,0.0,1529248262000.0,1529243272000.0,1463579834000.0,2,0,0,0,0,0.0057142857142857,6.979000624166e-08,1.3096095432648395e-09,97.0,3.1978837684373987e-10,1.5228017944939994e-11,5.482086460178397e-10,1.5,0.5,0.2057142857142856,1
255963,732952248150577153,Wed May 18 15:13:28 +0000 2016,193,193,0,0,435,435,2298,2298,3863,3863,0,0,1,140.0,0.0,1.0,0.0,1529253744000.0,1529253744000.0,1463584408000.0,0,0,0,0,0,0.0,3.4993501380918484e-08,6.624096214403629e-09,140.0,5.882501994538212e-08,0.0,2.9389668261606912e-09,0.0,1.0,0.0814285714285714,1
255964,732953248328503296,Wed May 18 15:17:26 +0000 2016,428,428,0,0,400,400,540,539,944,943,0,0,2,195.0,0.0,3.0,1.0,1529237243000.0,1529237243000.0,1463584646000.0,1,0,1,0,0,0.0028571428571428,8.225112557238215e-09,6.0926759683246045e-09,97.5,1.4378715285246064e-08,0.0,6.5191632861073265e-09,0.0,1.5,0.2442857142857143,1
255965,732955864219312128,Wed May 18 15:27:50 +0000 2016,94,94,0,0,153,153,317,317,516,516,2,2,1,45.0,1.0,0.0,0.0,1529248924000.0,1529248924000.0,1463585270000.0,0,0,0,0,0,0.0,4.8276326504766254e-09,2.330056137296289e-09,45.0,7.858228541469836e-09,3.04582501607358e-11,1.4315377575545823e-09,1.0,0.0,0.0828571428571428,1
255966,732958100949438466,Wed May 18 15:36:43 +0000 2016,76,76,0,0,349,349,2064,2064,1011,1011,2,2,1,26.0,1.0,0.0,0.0,1529245600000.0,1529245600000.0,1463585803000.0,0,0,0,0,0,0.0,3.1434760603965924e-08,5.315276865689975e-09,26.0,1.5397549888861216e-08,3.0460039344928216e-11,1.1574814951072723e-09,1.0,0.0,0.0828571428571428,1
255967,732961507391115264,Wed May 18 15:50:15 +0000 2016,102,102,0,0,96,96,402,402,1091,1091,0,0,1,111.0,3.0,1.0,1.0,1529250634000.0,1529250634000.0,1463586615000.0,0,0,0,0,0,0.0,6.122074251958291e-09,1.4619878810646663e-09,111.0,1.6614883106682823e-08,0.0,1.5533621236312082e-09,3.0,1.0,0.3299999999999999,1
255968,732961784441659398,Wed May 18 15:51:22 +0000 2016,32,32,0,0,362,362,720,720,890,890,0,0,1,136.0,2.0,1.0,1.0,1529229298000.0,1529229298000.0,1463586682000.0,0,0,0,0,0,0.0,1.0968484254192428e-08,5.514710138913416e-09,136.0,1.3558265258654532e-08,0.0,4.87488189075219e-10,2.0,1.0,0.2471428571428571,1
255969,732963730376564736,Wed May 18 15:59:05 +0000 2016,20,20,0,0,165,165,189,189,16,16,0,0,1,90.0,2.0,1.0,0.0,1529225148000.0,1529225148000.0,1463587145000.0,0,0,0,0,0,0.0,2.8794294671030743e-09,2.51378763001062e-09,90.0,2.4376122472830257e-10,0.0,3.0470153091037827e-10,2.0,1.0,0.2471428571428571,1
255970,732966273580163072,Wed May 18 16:09:12 +0000 2016,1170,1170,0,0,1404,1404,50485,50485,11865,11865,4,4,1,98.0,1.0,1.0,1.0,1529238596000.0,1529238596000.0,1463587752000.0,0,0,0,0,0,0.0,7.689923986354235e-07,2.1385863676025247e-08,98.0,1.8072882657837578e-07,6.092838654138248e-11,1.782155306335437e-08,1.0,1.0,0.1642857142857142,1
